=9x3
0,-4,
1,-2,
-1,-2,
-3,0,
0,0,
3,0,
1,2,
-1,2,
0,4,
=1x2
SYS_WAFERID,25
=120x13
VTHI_A03H_PSVT10_X130X230Y230Y12_d12_d06,,R,V,-4.441000E-01,-4.495000E-01,-4.966000E-01,-4.739000E-01,-4.456000E-01,-4.688000E-01,-4.822000E-01,-4.330000E-01,-4.637000E-01
IDLIN_A04A_PSVT10_X130X230Y230Y1D15_1_1,,R,uA,-6.413000E+00,-6.426000E+00,-6.395000E+00,-6.389500E+00,-6.398000E+00,-6.396500E+00,-6.383000E+00,-6.429000E+00,-6.418500E+00
IDSAT_A04A_PSVT10_X130X230Y230Y1D15_1_1,,R,mA,-2.495500E-02,-2.495500E-02,-2.489000E-02,-2.477000E-02,-2.480000E-02,-2.481500E-02,-2.476500E-02,-2.509500E-02,-2.494500E-02
VTHI_A04A_PSVT10_X130X230Y230Y1D15_1_1,,R,V,-4.272000E-01,-4.245000E-01,-4.299000E-01,-4.282000E-01,-4.308000E-01,-4.311000E-01,-4.308000E-01,-4.292000E-01,-4.264000E-01
IDLIN_A04B_PSVT10_X130X230Y230Y1D3_1_1,,R,uA,-6.408000E+00,-6.452500E+00,-6.474000E+00,-6.445000E+00,-6.473500E+00,-6.437500E+00,-6.472500E+00,-6.478500E+00,-6.468500E+00
IDSAT_A04B_PSVT10_X130X230Y230Y1D3_1_1,,R,mA,-2.487500E-02,-2.521500E-02,-2.530000E-02,-2.511500E-02,-2.538500E-02,-2.507000E-02,-2.531500E-02,-2.535000E-02,-2.516500E-02
VTHI_A04B_PSVT10_X130X230Y230Y1D3_1_1,,R,V,-4.313000E-01,-4.233000E-01,-4.270000E-01,-4.234000E-01,-4.241000E-01,-4.275000E-01,-4.236000E-01,-4.233000E-01,-4.287000E-01
IDLIN_A04C_PSVT10_X130X230Y230Y1D5_1_1,,R,uA,-6.477000E+00,-6.470000E+00,-6.452000E+00,-6.458500E+00,-6.533000E+00,-6.514500E+00,-6.512500E+00,-6.505000E+00,-6.463000E+00
IDSAT_A04C_PSVT10_X130X230Y230Y1D5_1_1,,R,mA,-2.551500E-02,-2.528500E-02,-2.521000E-02,-2.530500E-02,-2.565000E-02,-2.564000E-02,-2.560500E-02,-2.549000E-02,-2.548500E-02
VTHI_A04C_PSVT10_X130X230Y230Y1D5_1_1,,R,V,-4.230000E-01,-4.270000E-01,-4.265000E-01,-4.258000E-01,-4.207000E-01,-4.212000E-01,-4.212000E-01,-4.245000E-01,-4.241000E-01
IDLIN_A04D_PSVT10_X130X230Y230Y11_1_1,,R,uA,-6.475500E+00,-6.507000E+00,-6.489000E+00,-6.509000E+00,-6.528000E+00,-6.486000E+00,-6.523000E+00,-6.544000E+00,-6.495000E+00
IDSAT_A04D_PSVT10_X130X230Y230Y11_1_1,,R,mA,-2.545500E-02,-2.553500E-02,-2.553000E-02,-2.545000E-02,-2.574500E-02,-2.539000E-02,-2.566500E-02,-2.567500E-02,-2.556000E-02
VTHI_A04D_PSVT10_X130X230Y230Y11_1_1,,R,V,-4.214000E-01,-4.233000E-01,-4.212000E-01,-4.222000E-01,-4.207000E-01,-4.253000E-01,-4.217000E-01,-4.225000E-01,-4.226000E-01
IDLIN_A04E_PSVT10_X130X230Y230Y12_1_1,,R,uA,-6.495000E+00,-6.500500E+00,-6.516500E+00,-6.514500E+00,-6.558500E+00,-6.537500E+00,-6.534000E+00,-6.510000E+00,-6.516500E+00
IDSAT_A04E_PSVT10_X130X230Y230Y12_1_1,,R,mA,-2.535500E-02,-2.570500E-02,-2.566500E-02,-2.578500E-02,-2.603000E-02,-2.576000E-02,-2.565500E-02,-2.542000E-02,-2.560500E-02
VTHI_A04E_PSVT10_X130X230Y230Y12_1_1,,R,V,-4.272000E-01,-4.223000E-01,-4.210000E-01,-4.199000E-01,-4.152000E-01,-4.219000E-01,-4.191000E-01,-4.224000E-01,-4.207000E-01
IDLIN_A04F_PSVT10_X130X230Y230Y1D15_1_d06,,R,uA,-5.735500E+01,-5.822000E+01,-5.682000E+01,-6.039500E+01,-5.729500E+01,-5.833500E+01,-5.837000E+01,-5.613000E+01,-5.736000E+01
IDSAT_A04F_PSVT10_X130X230Y230Y1D15_1_d06,,R,mA,-2.420000E-01,-2.402000E-01,-2.339000E-01,-2.556500E-01,-2.369500E-01,-2.404500E-01,-2.437000E-01,-2.333000E-01,-2.451500E-01
VTHI_A04F_PSVT10_X130X230Y230Y1D15_1_d06,,R,V,-5.532000E-01,-5.461000E-01,-5.583000E-01,-5.242000E-01,-5.662000E-01,-5.391000E-01,-5.389000E-01,-5.653000E-01,-5.447000E-01
